No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.51351531997      0.00010391       119.49022365       501.81978456
41603         2023.51459566162      0.00011283       121.15280981       502.01188326
41603         2023.51531588844      0.00011597       122.19616492       502.13143885
41603         2023.51621617164      0.00011670       123.52733930       502.28251775
41603         2023.51729651074      0.00011323       125.10634836       502.46395544
41603         2023.51837684811      0.00010468       126.65672377       502.64058408
41603         2023.51927712858      0.00009387       127.93873680       502.78617883
41603         2023.51981729638      0.00009323       128.69511445       502.86933049
41603         2023.52107768649      0.00009110       130.47055904       503.06636066
41603         2023.52179790910      0.00008713       131.52288047       503.17987804
41603         2023.52269818674      0.00009243       132.57874004       503.28448355
41603         2023.52359846279      0.00008662       134.08826239       503.44919108
41603         2023.52449873866      0.00008807       135.42562761       503.58527432
41603         2023.52539901315      0.00009961       136.74107804       503.71553365
41603         2023.52647934145      0.00010472       138.30031190       503.86885993
41603         2023.52719955995      0.00010955       139.36446757       503.97289839
41603         2023.52809983184      0.00011315       140.64164643       504.09583168
41603         2023.53062058825      0.00011030       144.15197057       504.42615110
41603         2023.53080064197      0.00011143       144.40005310       504.44908664
41603         2023.53134080266      0.00011694       145.14442122       504.51911792
41603         2023.53296128299      0.00011905       147.39518999       504.71963584
41603         2023.53350144241      0.00012105       148.10976392       504.77731216
41603         2023.53440170688      0.00012276       149.36584001       504.89038753
41603         2023.53566207603      0.00011567       151.14058317       505.03458169
41603         2023.53638228581      0.00011724       152.12486431       505.10857815
41603         2023.53746259956      0.00011442       153.61955253       505.22509036
41603         2023.53800275600      0.00011399       154.37224149       505.27930152
41603         2023.53926311951      0.00011250       156.14137887       505.40865083
41603         2023.53980327449      0.00011380       156.86978903       505.45967706
41603         2023.54106363438      0.00011835       158.60889074       505.57922949
41603         2023.54196389003      0.00012690       159.81164922       505.65721343
41603         2023.54268409375      0.00012659       160.75982173       505.71732283
41603         2023.54376439764      0.00013013       162.20387907       505.80317925
41603         2023.54448459959      0.00012635       163.14241112       505.85736690
41603         2023.54538485101      0.00012327       164.31240867       505.92248450
41603         2023.54628510178      0.00012230       165.50921746       505.98674379
41603         2023.54754545104      0.00012573       167.15874263       506.06647976
41603         2023.55006614274      0.00012689       170.44874205       506.20308913
41603         2023.55096638679      0.00013238       171.61877818       506.25228026
41603         2023.55186663099      0.00012663       172.84425643       506.30626801
41603         2023.55276687411      0.00012233       174.06271056       506.35049300
41603         2023.56050891855      0.00011113       183.92899823       506.55582504
41603         2023.56320961367      0.00011699       187.40631242       506.56512481
41603         2023.56591029734      0.00014086       190.82630198       506.53180161
41603         2023.56645043290      0.00013688       191.50123062       506.52476402
41603         2023.56681052318      0.00013732       191.93877291       506.52165253
41603         2023.56735065778      0.00013769       192.60991470       506.50959649
41603         2023.56825088263      0.00013953       193.73839163       506.50399036
41603         2023.56861097088      0.00012754       194.16222932       506.48313471
41603         2023.56915110441      0.00012650       194.81542226       506.46645809
41603         2023.56951119301      0.00012406       195.23181459       506.45910584
41603         2023.57005132556      0.00012506       195.86624554       506.44242377
41603         2023.57095154647      0.00011362       196.95058243       506.41627534
41603         2023.57113159041      0.00011280       197.16591968       506.40922403
41603         2023.57203180973      0.00011201       198.25801983       506.36170339
41603         2023.57293202753      0.00011178       199.34896500       506.32179467
41603         2023.57365220093      0.00011340       200.23681958       506.29037019
41603         2023.57473246060      0.00011457       201.58932459       506.22854789
41603         2023.57563267490      0.00011427       202.69035298       506.17867175
41603         2023.57653288948      0.00010957       203.81037718       506.13548055
41603         2023.57743310225      0.00011338       204.92764679       506.06905173
41603         2023.57833331362      0.00011945       206.00454400       506.01192893
41603         2023.57923352405      0.00012456       207.09861924       505.94902921
41603         2023.58013373425      0.00013180       208.17059638       505.88099683
41603         2023.58103394197      0.00013236       209.21173827       505.81408413
41603         2023.58301439636      0.00012851       211.54160408       505.64864798
41603         2023.58391460058      0.00012926       212.55925291       505.57310078
41603         2023.58445472345      0.00011814       213.21433907       505.52414795
41603         2023.58553496644      0.00012366       214.50750439       505.41520730
41603         2023.58661520707      0.00012858       215.76320478       505.31146040
41603         2023.58733536816      0.00012650       216.61527262       505.23636228
41603         2023.58841560685      0.00013342       217.93562096       505.10849898
41603         2023.58931580460      0.00012797       218.98311605       505.01361118
41603         2023.59021600211      0.00012485       220.04357640       504.91778043
41603         2023.59111619729      0.00012346       221.09714933       504.81202634
41603         2023.59183635249      0.00012807       221.91862034       504.73027209
41603         2023.59273654521      0.00013803       222.97131836       504.61948812
41603         2023.59381677575      0.00013380       224.22386712       504.48227848
41603         2023.59507704208      0.00012236       225.68936709       504.31463906
41603         2023.59543711795      0.00012121       226.09479535       504.26846813
41603         2023.59669738164      0.00012187       227.55161987       504.09157135
41603         2023.59759756882      0.00011670       228.60077804       503.95905167
41603         2023.59831771778      0.00012024       229.44233882       503.85672184
41603         2023.59957797595      0.00012909       230.90576645       503.66840364
41603         2023.60029812247      0.00012823       231.73875777       503.56014347
41603         2023.60101826784      0.00013957       232.57978597       503.45029561
41603         2023.60191844992      0.00013642       233.63667445       503.31214718
41603         2023.60299866551      0.00014158       234.83022818       503.15507341
41603         2023.60371880942      0.00013305       235.64670083       503.04734603
41603         2023.60479902293      0.00012777       236.85921099       502.88048290
41603         2023.60569919912      0.00012926       237.86929715       502.73485993
41603         2023.60659937463      0.00012063       238.89350192       502.58742963
41603         2023.60767958392      0.00011787       240.12697949       502.40419701
41603         2023.60839972222      0.00011417       240.94336411       502.28011631
41603         2023.60947992921      0.00011113       242.15965902       502.09540756
41603         2023.61020006600      0.00011353       242.99635649       501.96632377
41603         2023.61128026984      0.00011163       244.21176807       501.77658304
41603         2023.61200040537      0.00010996       245.03483459       501.64840043
41603         2023.61326064005      0.00011240       246.48493631       501.41477857
41603         2023.61398077334      0.00011247       247.29910513       501.28430715
41603         2023.61506097211      0.00011298       248.54034438       501.08482764
41603         2023.61578110411      0.00011024       249.40552513       500.94485915
41603         2023.61668126770      0.00011066       250.37954798       500.78602220
41603         2023.61758143041      0.00011408       251.38922394       500.61893227
41603         2023.61848159225      0.00011465       252.39889027       500.45023917
41603         2023.61938175266      0.00011756       253.40901368       500.27752806
41603         2023.62028191247      0.00011630       254.39864683       500.10890027
41603         2023.62118207088      0.00011490       255.41367499       499.93419030
41603         2023.62208222808      0.00012028       256.40057239       499.76227271
41603         2023.62298238490      0.00011429       257.38983767       499.59237946
41603         2023.62406257085      0.00011949       258.63390440       499.37459749
41603         2023.62478269337      0.00012465       259.41731900       499.23587936
41603         2023.62586287715      0.00012105       260.62674843       499.02401830
41603         2023.62694305871      0.00012428       261.85203253       498.80682497
41603         2023.62784320890      0.00012334       262.82296961       498.63536079
41603         2023.62856332852      0.00012105       263.63366982       498.49216521
41603         2023.62964350532      0.00012256       264.84857444       498.27445329
41603         2023.63054365178      0.00012605       265.88252393       498.08861142
41603         2023.63144379748      0.00012409       266.86378973       497.91338058
41603         2023.63234394159      0.00012429       267.89070242       497.72897035
41603         2023.63324408411      0.00013112       268.87797374       497.54971834
41603         2023.63432425425      0.00012218       270.08109169       497.33484480
41603         2023.63486433858      0.00012108       270.70306327       497.22342619
41603         2023.63594450603      0.00012456       271.90968416       497.00657553
41603         2023.63702467219      0.00012018       273.10945138       496.79235984
41603         2023.63792480910      0.00011949       274.12576297       496.61038804
41603         2023.63882494532      0.00011701       275.14126052       496.42986441
41603         2023.63972508005      0.00012156       276.10871499       496.25621552
41603         2023.64044518745      0.00011337       276.92018379       496.11314087
41603         2023.64134532066      0.00011785       277.89618695       495.94105109
41603         2023.64242547918      0.00010934       279.11046611       495.72859942
41603         2023.64602599559      0.00011914       283.23912464       495.01225123
41603         2023.64638604595      0.00012153       283.66610091       494.93885670
41603         2023.64674609627      0.00012065       284.05236827       494.87334732
41603         2023.64764622211      0.00011101       285.01191829       494.71224491
